Bar at time: 2026-03-18 22:17:49, startBid:71069, endBid:71029, highBid:71069, lowBid:1.39065e-309, avgBid:71069, avgBidSize:1.272, startAsk:71115, endAsk:71115, highAsk:71115, lowAsk:0, avgAsk:71115, avgAskSize:1.2786, bid_quote_count:-136170512, ask_quote_count:-136170464
Bar at time: 2026-03-18 22:18:03, startBid:71037, endBid:71037, highBid:71037, lowBid:71037, avgBid:71037, avgBidSize:1.27576, startAsk:71124, endAsk:71124, highAsk:71124, lowAsk:71124, avgAsk:71124, avgAskSize:2.5508, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:03, startBid:71037, endBid:71037, highBid:71037, lowBid:71037, avgBid:71037, avgBidSize:1.27576, startAsk:71145, endAsk:71145, highAsk:71145, lowAsk:71145, avgAsk:71145, avgAskSize:1.285, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:03, startBid:71037, endBid:71037, highBid:71037, lowBid:71037, avgBid:71037, avgBidSize:1.27576, startAsk:71145, endAsk:71145, highAsk:71145, lowAsk:71145, avgAsk:71145, avgAskSize:1.285, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:07, startBid:71036, endBid:71042, highBid:71046, lowBid:71036, avgBid:71046, avgBidSize:1.286, startAsk:71145, endAsk:71115, highAsk:71150, lowAsk:71115, avgAsk:71145, avgAskSize:1.285, bid_quote_count:61, ask_quote_count:61
Bar at time: 2026-03-18 22:18:07, startBid:71042, endBid:71042, highBid:71042, lowBid:71042, avgBid:71042, avgBidSize:2.55, startAsk:71115, endAsk:71115, highAsk:71115, lowAsk:71115, avgAsk:71115, avgAskSize:1.27105, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:07, startBid:71042, endBid:71042, highBid:71042, lowBid:71042, avgBid:71042, avgBidSize:2.55, startAsk:71172, endAsk:71172, highAsk:71172, lowAsk:71172, avgAsk:71172, avgAskSize:2.552, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:07, startBid:71042, endBid:71042, highBid:71042, lowBid:71042, avgBid:71042, avgBidSize:2.55, startAsk:71148, endAsk:71148, highAsk:71148, lowAsk:71148, avgAsk:71148, avgAskSize:1.286, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:15, startBid:71036, endBid:71036, highBid:71041, lowBid:71036, avgBid:71041, avgBidSize:2.558, startAsk:71148, endAsk:71146, highAsk:71148, lowAsk:71146, avgAsk:71146, avgAskSize:2.559, bid_quote_count:29, ask_quote_count:29
Bar at time: 2026-03-18 22:18:15, startBid:71062, endBid:71062, highBid:71062, lowBid:71062, avgBid:71062, avgBidSize:1.26872, startAsk:71146, endAsk:71146, highAsk:71146, lowAsk:71146, avgAsk:71146, avgAskSize:2.559, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:15, startBid:71062, endBid:71062, highBid:71062, lowBid:71062, avgBid:71062, avgBidSize:1.26872, startAsk:71148, endAsk:71148, highAsk:71148, lowAsk:71148, avgAsk:71148, avgAskSize:1.286, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:15, startBid:71062, endBid:71062, highBid:71062, lowBid:71062, avgBid:71062, avgBidSize:1.26872, startAsk:71141, endAsk:71141, highAsk:71141, lowAsk:71141, avgAsk:71141, avgAskSize:1.27696, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:15, startBid:71062, endBid:71062, highBid:71062, lowBid:71062, avgBid:71062, avgBidSize:1.26872, startAsk:71141, endAsk:71141, highAsk:71141, lowAsk:71141, avgAsk:71141, avgAskSize:1.27696, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:15, startBid:71062, endBid:71062, highBid:71062, lowBid:71062, avgBid:71062, avgBidSize:1.26872, startAsk:71141, endAsk:71141, highAsk:71141, lowAsk:71141, avgAsk:71141, avgAskSize:1.27696, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:15, startBid:71062, endBid:71062, highBid:71062, lowBid:71062, avgBid:71062, avgBidSize:1.26872, startAsk:71141, endAsk:71141, highAsk:71141, lowAsk:71141, avgAsk:71141, avgAskSize:1.27696, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:15, startBid:71062, endBid:71062, highBid:71062, lowBid:71062, avgBid:71062, avgBidSize:1.26872, startAsk:71141, endAsk:71141, highAsk:71141, lowAsk:71141, avgAsk:71141, avgAskSize:1.27696, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:18, startBid:71062, endBid:71026, highBid:71062, lowBid:71026, avgBid:71062, avgBidSize:1.26872, startAsk:71141, endAsk:71141, highAsk:71141, lowAsk:71141, avgAsk:71141, avgAskSize:1.27696, bid_quote_count:25, ask_quote_count:25
Bar at time: 2026-03-18 22:18:18, startBid:71083, endBid:71083, highBid:71083, lowBid:71083, avgBid:71083, avgBidSize:1.2819, startAsk:71141, endAsk:71141, highAsk:71141, lowAsk:71141, avgAsk:71141, avgAskSize:1.27696, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:18, startBid:71083, endBid:71083, highBid:71083, lowBid:71083, avgBid:71083, avgBidSize:1.2819, startAsk:71174, endAsk:71174, highAsk:71174, lowAsk:71174, avgAsk:71174, avgAskSize:2.55245, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:18, startBid:71083, endBid:71027, highBid:71083, lowBid:71027, avgBid:71071, avgBidSize:1.28033, startAsk:71145, endAsk:71124, highAsk:71172, lowAsk:71124, avgAsk:71134, avgAskSize:1.28651, bid_quote_count:126, ask_quote_count:126
Bar at time: 2026-03-18 22:18:19, startBid:71059, endBid:71004, highBid:71059, lowBid:71004, avgBid:71048, avgBidSize:1.2875, startAsk:71124, endAsk:71116, highAsk:71163, lowAsk:71114, avgAsk:71116, avgAskSize:1.2856, bid_quote_count:64, ask_quote_count:64
Bar at time: 2026-03-18 22:18:26, startBid:71046, endBid:71028, highBid:71046, lowBid:71028, avgBid:71046, avgBidSize:1.28668, startAsk:71116, endAsk:71107, highAsk:71139, lowAsk:71107, avgAsk:71107, avgAskSize:2.5769, bid_quote_count:32, ask_quote_count:32
Bar at time: 2026-03-18 22:18:26, startBid:71028, endBid:71028, highBid:71028, lowBid:71028, avgBid:71028, avgBidSize:1.2769, startAsk:71107, endAsk:71107, highAsk:71107, lowAsk:71107, avgAsk:71107, avgAskSize:2.5769, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:26, startBid:71028, endBid:71028, highBid:71028, lowBid:71028, avgBid:71028, avgBidSize:1.2769, startAsk:71117, endAsk:71117, highAsk:71117, lowAsk:71117, avgAsk:71117, avgAskSize:1.268, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:26, startBid:71028, endBid:71028, highBid:71028, lowBid:71028, avgBid:71028, avgBidSize:1.2769, startAsk:71115, endAsk:71115, highAsk:71115, lowAsk:71115, avgAsk:71115, avgAskSize:1.26707, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:26, startBid:70972, endBid:70972, highBid:70972, lowBid:70972, avgBid:70972, avgBidSize:3.83629, startAsk:71115, endAsk:71115, highAsk:71115, lowAsk:71115, avgAsk:71115, avgAskSize:1.26707, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:26, startBid:71028, endBid:71028, highBid:71028, lowBid:71028, avgBid:71028, avgBidSize:2.5584, startAsk:71115, endAsk:71115, highAsk:71115, lowAsk:71115, avgAsk:71115, avgAskSize:1.26707, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:27, startBid:71028, endBid:71051, highBid:71062, lowBid:70989, avgBid:71060, avgBidSize:1.2817, startAsk:71115, endAsk:71120, highAsk:71158, lowAsk:71115, avgAsk:71120, avgAskSize:1.2767, bid_quote_count:91, ask_quote_count:91
Bar at time: 2026-03-18 22:18:29, startBid:71059, endBid:71052, highBid:71059, lowBid:71052, avgBid:71059, avgBidSize:1.2662, startAsk:71120, endAsk:71134, highAsk:71165, lowAsk:71120, avgAsk:71134, avgAskSize:1.27523, bid_quote_count:32, ask_quote_count:32
Bar at time: 2026-03-18 22:18:29, startBid:71074, endBid:71074, highBid:71074, lowBid:71074, avgBid:71074, avgBidSize:1.27741, startAsk:71134, endAsk:71134, highAsk:71134, lowAsk:71134, avgAsk:71134, avgAskSize:1.27523, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:29, startBid:71074, endBid:71044, highBid:71074, lowBid:71044, avgBid:71074, avgBidSize:1.27741, startAsk:71158, endAsk:71130, highAsk:71158, lowAsk:71130, avgAsk:71130, avgAskSize:1.26911, bid_quote_count:31, ask_quote_count:31
Bar at time: 2026-03-18 22:18:34, startBid:71068, endBid:71060, highBid:71068, lowBid:71055, avgBid:71062, avgBidSize:1.2888, startAsk:71130, endAsk:71124, highAsk:71149, lowAsk:71124, avgAsk:71133, avgAskSize:1.2825, bid_quote_count:64, ask_quote_count:64
Bar at time: 2026-03-18 22:18:34, startBid:71072, endBid:71072, highBid:71072, lowBid:71072, avgBid:71072, avgBidSize:1.2712, startAsk:71124, endAsk:71124, highAsk:71124, lowAsk:71124, avgAsk:71124, avgAskSize:1.287, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:34, startBid:71072, endBid:71072, highBid:71072, lowBid:71072, avgBid:71072, avgBidSize:1.2712, startAsk:71164, endAsk:71164, highAsk:71164, lowAsk:71164, avgAsk:71164, avgAskSize:2.57088, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:34, startBid:71072, endBid:71072, highBid:71072, lowBid:71072, avgBid:71072, avgBidSize:1.2712, startAsk:71133, endAsk:71133, highAsk:71133, lowAsk:71133, avgAsk:71133, avgAskSize:1.289, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:34, startBid:71072, endBid:71036, highBid:71072, lowBid:71036, avgBid:71072, avgBidSize:1.2712, startAsk:71133, endAsk:71133, highAsk:71133, lowAsk:71133, avgAsk:71133, avgAskSize:1.289, bid_quote_count:29, ask_quote_count:29
Bar at time: 2026-03-18 22:18:36, startBid:71095, endBid:71051, highBid:71095, lowBid:71051, avgBid:71095, avgBidSize:1.2886, startAsk:71133, endAsk:71133, highAsk:71166, lowAsk:71133, avgAsk:71133, avgAskSize:1.2662, bid_quote_count:32, ask_quote_count:32
Bar at time: 2026-03-18 22:18:47, startBid:71097, endBid:71046, highBid:71097, lowBid:71046, avgBid:71097, avgBidSize:1.28046, startAsk:71133, endAsk:71147, highAsk:71183, lowAsk:71133, avgAsk:71147, avgAskSize:1.2892, bid_quote_count:32, ask_quote_count:32
Bar at time: 2026-03-18 22:18:47, startBid:71069, endBid:71069, highBid:71069, lowBid:71069, avgBid:71069, avgBidSize:1.271, startAsk:71147, endAsk:71147, highAsk:71147, lowAsk:71147, avgAsk:71147, avgAskSize:1.2892, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:47, startBid:71069, endBid:71069, highBid:71069, lowBid:71069, avgBid:71069, avgBidSize:1.271, startAsk:71178, endAsk:71178, highAsk:71178, lowAsk:71178, avgAsk:71178, avgAskSize:2.56, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:47, startBid:71069, endBid:71069, highBid:71069, lowBid:71069, avgBid:71069, avgBidSize:1.271, startAsk:71162, endAsk:71162, highAsk:71162, lowAsk:71162, avgAsk:71162, avgAskSize:1.269, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:47, startBid:71069, endBid:71069, highBid:71069, lowBid:71069, avgBid:71069, avgBidSize:1.271, startAsk:71162, endAsk:71162, highAsk:71162, lowAsk:71162, avgAsk:71162, avgAskSize:1.269, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:47, startBid:71069, endBid:71069, highBid:71069, lowBid:71069, avgBid:71069, avgBidSize:1.271, startAsk:71162, endAsk:71162, highAsk:71162, lowAsk:71162, avgAsk:71162, avgAskSize:1.269, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:47, startBid:71069, endBid:71069, highBid:71069, lowBid:71069, avgBid:71069, avgBidSize:1.271, startAsk:71162, endAsk:71162, highAsk:71162, lowAsk:71162, avgAsk:71162, avgAskSize:1.269, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:47, startBid:71069, endBid:71069, highBid:71069, lowBid:71069, avgBid:71069, avgBidSize:1.271, startAsk:71162, endAsk:71162, highAsk:71162, lowAsk:71162, avgAsk:71162, avgAskSize:1.269, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:47, startBid:71069, endBid:71069, highBid:71069, lowBid:71069, avgBid:71069, avgBidSize:1.271, startAsk:71162, endAsk:71162, highAsk:71162, lowAsk:71162, avgAsk:71162, avgAskSize:1.269, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:47, startBid:71069, endBid:71069, highBid:71069, lowBid:71069, avgBid:71069, avgBidSize:1.271, startAsk:71162, endAsk:71162, highAsk:71162, lowAsk:71162, avgAsk:71162, avgAskSize:1.269, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:47, startBid:71069, endBid:71069, highBid:71069, lowBid:71069, avgBid:71069, avgBidSize:1.271, startAsk:71162, endAsk:71162, highAsk:71162, lowAsk:71162, avgAsk:71162, avgAskSize:1.269, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:57, startBid:71069, endBid:71066, highBid:71085, lowBid:71042, avgBid:71085, avgBidSize:1.28395, startAsk:71162, endAsk:71144, highAsk:71186, lowAsk:71144, avgAsk:71144, avgAskSize:1.2773, bid_quote_count:54, ask_quote_count:54
